wl,fighterx,fightery,agex,heightx,reachx,slpmx,stacx,sapmx,tdavgx,tdaccx,tddefx,subavgx,winsx,lossesx,drawsx,stanceopenstancex,stanceorthodoxx,stancesouthpawx,stanceswitchx,agey,heighty,reachy,slpmy,stacy,sapmy,tdavgy,tdaccy,tddefy,subavgy,winsy,lossesy,drawsy,stanceopenstancey,stanceorthodoxy,stancesouthpawy,stanceswitchy
0,Charles Johnson,Muhammad Mokaev,33,69,70,4,55,59,0,23,63,0,14,6,0,0,0,0,1,23,67,70,1,51,52,6,53,0,1,11,0,0,0,1,0,0
0,Charles Johnson,Cody Durden,33,69,70,4,55,59,0,23,63,0,14,6,0,0,0,0,1,32,67,67,3,51,51,4,50,66,0,16,5,1,0,0,1,0
0,Charles Johnson,Rafael Estevam,33,69,70,4,55,59,0,23,63,0,14,6,0,0,0,0,1,27,68,69,2,64,34,3,19,0,0,12,0,0,0,1,0,0
0,Charles Jourdain,Shane Burgos,28,69,69,5,48,57,0,10,48,0,15,7,1,0,0,0,1,32,71,75,7,52,56,0,44,91,0,15,3,0,0,1,0,0
1,Charles Jourdain,Kron Gracie,28,69,69,5,48,57,0,10,48,0,15,7,1,0,0,0,1,35,69,70,3,44,53,0,25,0,0,5,2,0,0,0,1,0
1,Charles Jourdain,Andre Ewell,28,69,69,5,48,57,0,10,48,0,15,7,1,0,0,0,1,36,68,75,4,40,51,0,75,72,0,17,9,0,0,0,1,0
0,Charles Jourdain,Andre Fili,28,69,69,5,48,57,0,10,48,0,15,7,1,0,0,0,1,33,71,74,3,37,51,2,47,69,0,23,11,0,0,1,0,0
0,Charles Jourdain,Desmond Green,28,69,69,5,48,57,0,10,48,0,15,7,1,0,0,0,1,34,70,73,3,46,69,1,50,75,0,23,8,0,0,0,1,0
1,Charles Jourdain,Dooho Choi,28,69,69,5,48,57,0,10,48,0,15,7,1,0,0,0,1,32,70,70,4,53,54,0,20,50,0,14,4,1,0,1,0,0
0,Charles McCarthy,David Loiseau,43,70,71,0,12,56,2,60,0,2,10,5,0,0,1,0,0,44,72,76,1,44,43,0,42,36,0,23,11,0,0,1,0,0
0,Charles McCarthy,Michael Bisping,43,70,71,0,12,56,2,60,0,2,10,5,0,0,1,0,0,45,73,75,4,38,65,1,43,63,0,30,9,0,0,1,0,0
0,Charles Oliveira,Ricardo Lamas,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,41,68,71,3,47,57,1,33,46,0,20,8,0,0,1,0,0
0,Charles Oliveira,Frankie Edgar,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,42,66,68,3,40,65,2,31,65,0,23,11,1,0,1,0,0
1,Charles Oliveira,Tony Ferguson,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,40,71,76,4,45,55,0,35,67,0,26,10,0,0,1,0,0
1,Charles Oliveira,Dustin Poirier,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,35,69,72,5,50,53,1,36,63,1,29,8,0,0,0,1,0
0,Charles Oliveira,Paul Felder,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,39,71,70,3,44,48,0,28,64,0,17,6,0,0,1,0,0
1,Charles Oliveira,Jim Miller,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,40,68,71,2,42,58,1,44,48,1,37,17,0,0,0,1,0
0,Charles Oliveira,Cub Swanson,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,40,68,70,4,50,59,1,52,61,0,29,13,0,0,1,0,0
1,Charles Oliveira,Beneil Dariush,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0
0,Charles Oliveira,Jim Miller,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,40,68,71,2,42,58,1,44,48,1,37,17,0,0,0,1,0
1,Charles Oliveira,Christos Giagos,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,34,70,71,2,42,51,2,37,52,0,20,11,0,0,1,0,0
1,Charles Oliveira,Efrain Escudero,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,38,69,71,2,44,63,1,40,66,0,28,12,0,0,1,0,0
1,Charles Oliveira,Nik Lentz,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,39,68,68,3,47,50,3,32,43,1,30,12,2,0,1,0,0
0,Charles Oliveira,Islam Makhachev,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,32,70,70,2,60,61,3,60,90,1,25,1,0,0,0,1,0
1,Charles Oliveira,Will Brooks,34,70,74,3,53,51,2,40,55,2,34,9,0,0,1,0,0,37,70,72,4,59,56,2,51,82,0,18,4,0,0,1,0,0
1,Charles Radtke,Blood Diamond,33,69,72,3,52,54,0,16,10,0,9,3,0,0,1,0,0,35,71,76,3,55,48,0,0,73,0,3,3,0,0,0,0,1
1,Charles Radtke,Gilbert Urbina,33,69,72,3,52,54,0,16,10,0,9,3,0,0,1,0,0,27,75,75,5,57,44,3,44,0,0,7,4,0,0,1,0,0
0,Charles Rosa,Yair Rodriguez,37,69,69,3,36,47,1,35,38,1,14,8,0,0,0,0,1,31,71,71,4,46,52,0,27,58,0,16,5,0,0,1,0,0
0,Charles Rosa,Nathaniel Wood,37,69,69,3,36,47,1,35,38,1,14,8,0,0,0,0,1,30,66,69,5,50,56,1,48,70,0,20,6,0,0,1,0,0
1,Charles Rosa,Kyle Bochniak,37,69,69,3,36,47,1,35,38,1,14,8,0,0,0,0,1,37,67,70,2,31,58,1,15,62,0,8,5,0,0,1,0,0
0,Charles Rosa,Shane Burgos,37,69,69,3,36,47,1,35,38,1,14,8,0,0,0,0,1,32,71,75,7,52,56,0,44,91,0,15,3,0,0,1,0,0
1,Charles Rosa,Sean Soriano,37,69,69,3,36,47,1,35,38,1,14,8,0,0,0,0,1,34,69,70,3,61,56,1,55,52,0,14,8,0,0,1,0,0
0,Charles Rosa,Damon Jackson,37,69,69,3,36,47,1,35,38,1,14,8,0,0,0,0,1,35,71,71,3,40,50,2,34,40,1,22,6,1,0,0,0,1
1,Charles Rosa,Kevin Aguilar,37,69,69,3,36,47,1,35,38,1,14,8,0,0,0,0,1,35,67,73,3,40,52,0,16,78,0,17,5,0,0,1,0,0
0,Charles Rosa,Dennis Siver,37,69,69,3,36,47,1,35,38,1,14,8,0,0,0,0,1,45,66,70,3,32,65,0,32,65,0,23,11,0,0,1,0,0
0,Charlie Brenneman,Johny Hendricks,43,70,70,1,56,46,4,42,72,0,19,8,0,0,1,0,0,40,69,69,3,45,53,3,46,63,0,18,8,0,0,0,1,0
1,Charlie Brenneman,Rick Story,43,70,70,1,56,46,4,42,72,0,19,8,0,0,1,0,0,39,69,71,3,41,62,2,48,63,0,19,9,0,0,0,1,0
1,Charlie Brenneman,Jason High,43,70,70,1,56,46,4,42,72,0,19,8,0,0,1,0,0,42,68,73,1,42,48,2,63,37,2,21,6,0,0,0,1,0
0,Charlie Brenneman,Danny Castillo,43,70,70,1,56,46,4,42,72,0,19,8,0,0,1,0,0,44,69,71,2,42,62,2,38,63,0,17,10,0,0,1,0,0
0,Charlie Brenneman,Leandro Silva,43,70,70,1,56,46,4,42,72,0,19,8,0,0,1,0,0,38,69,72,2,48,63,1,37,65,0,20,6,1,0,1,0,0
0,Charlie Brenneman,Beneil Dariush,43,70,70,1,56,46,4,42,72,0,19,8,0,0,1,0,0,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0
1,Charlie Brenneman,Daniel Roberts,43,70,70,1,56,46,4,42,72,0,19,8,0,0,1,0,0,43,70,74,0,20,46,2,44,40,2,15,7,0,0,0,1,0
1,Charlie Campbell,Alex Reyes,28,72,72,11,54,60,0,0,10,0,8,2,0,0,1,0,0,37,71,73,4,39,40,0,0,0,0,13,4,0,0,1,0,0
0,Charlie Ontiveros,Steve Garcia,32,74,74,1,41,31,0,0,30,0,11,9,0,0,0,0,1,31,72,75,4,56,46,1,44,88,0,15,5,0,0,0,1,0
0,Charlie Ontiveros,Gabriel Benitez,32,74,74,1,41,31,0,0,30,0,11,9,0,0,0,0,1,35,68,71,4,41,62,0,50,55,1,23,12,0,0,0,1,0
1,Chas Skelly,Tom Niinimaki,38,71,72,2,40,49,1,34,39,2,19,3,0,0,1,0,0,41,69,69,1,54,58,2,46,33,0,22,8,1,0,1,0,0
1,Chas Skelly,Mark Striegl,38,71,72,2,40,49,1,34,39,2,19,3,0,0,1,0,0,35,68,70,1,45,40,0,0,66,0,18,4,0,0,0,1,0
0,Chas Skelly,Jason Knight,38,71,72,2,40,49,1,34,39,2,19,3,0,0,1,0,0,31,70,71,2,33,51,1,31,47,1,20,5,0,0,1,0,0
1,Chas Skelly,Sean Soriano,38,71,72,2,40,49,1,34,39,2,19,3,0,0,1,0,0,34,69,70,3,61,56,1,55,52,0,14,8,0,0,1,0,0
0,Chas Skelly,Mirsad Bektic,38,71,72,2,40,49,1,34,39,2,19,3,0,0,1,0,0,33,68,70,2,41,57,3,52,92,0,13,4,0,0,1,0,0
0,Chase Hooper,Steve Garcia,24,73,74,4,51,36,1,22,55,2,13,3,1,0,0,1,0,31,72,75,4,56,46,1,44,88,0,15,5,0,0,0,1,0
1,Chase Hooper,Peter Barrett,24,73,74,4,51,36,1,22,55,2,13,3,1,0,0,1,0,37,70,73,4,61,42,1,22,66,0,11,5,0,0,0,1,0
1,Chase Hooper,Daniel Teymur,24,73,74,4,51,36,1,22,55,2,13,3,1,0,0,1,0,36,65,69,3,46,56,0,18,60,0,7,4,0,0,1,0,0
1,Chase Hooper,Felipe Colares,24,73,74,4,51,36,1,22,55,2,13,3,1,0,0,1,0,29,68,69,2,45,36,1,24,43,0,10,4,0,0,1,0,0
0,Chase Hooper,Alex Caceres,24,73,74,4,51,36,1,22,55,2,13,3,1,0,0,1,0,35,70,73,4,50,63,0,68,64,0,21,14,0,0,0,1,0
0,Chase Sherman,Karl Williams,34,76,78,6,45,52,0,50,74,0,16,12,0,0,1,0,0,34,75,79,2,49,62,4,46,10,0,9,1,0,0,1,0,0
0,Chase Sherman,Shamil Abdurakhimov,34,76,78,6,45,52,0,50,74,0,16,12,0,0,1,0,0,42,75,76,2,44,55,1,23,45,0,20,8,0,0,1,0,0
0,Chase Sherman,Parker Porter,34,76,78,6,45,52,0,50,74,0,16,12,0,0,1,0,0,38,72,75,6,50,51,1,26,66,0,14,9,0,0,1,0,0
0,Chase Sherman,Andrei Arlovski,34,76,78,6,45,52,0,50,74,0,16,12,0,0,1,0,0,45,75,77,3,45,57,0,36,76,0,34,23,0,0,1,0,0
0,Chase Sherman,Augusto Sakai,34,76,78,6,45,52,0,50,74,0,16,12,0,0,1,0,0,32,75,77,4,49,48,0,40,56,0,16,5,1,0,1,0,0
1,Chase Sherman,Ike Villanueva,34,76,78,6,45,52,0,50,74,0,16,12,0,0,1,0,0,39,73,73,3,38,36,0,50,10,0,18,14,0,0,1,0,0
0,Chase Sherman,Justin Willis,34,76,78,6,45,52,0,50,74,0,16,12,0,0,1,0,0,36,73,78,3,59,57,0,66,36,0,8,2,0,0,0,1,0
