fighter,age,height,reach,slpm,stac,sapm,tdavg,tdacc,tddef,subavg,wins,losses,draws
Nate Landwehr,35.0,69,72,6.14,46,55,1.07,41,86,1.1,17,5,0
Uros Medic,30.0,73,71,5.64,60,58,0.4,10,46,0.0,9,2,0
John Phillips,38.0,71,75,1.72,34,49,0.0,0,7%,0.0,22,11,0
Thomas Paull,29.0,67,67,7.33,33,64,0.0,0,0,0.0,11,4,0
Zabit Magomedsharipov,33.0,73,73,4.89,48,64,5.22,56,77,0.8,18,1,0
Max Rohskopf,29.0,73,71,1.7,31,42,3.0,33,0,1.5,5,1,0
Jae Hyun Park,22.0,68,72,0.8,63,21,0.0,0,22,0.0,6,2,0
Serghei Spivac,29.0,75,78,3.54,49,49,4.56,64,70,0.5,16,4,0
Marcos Brigagao,27.0,75,76,3.07,43,25,0.0,0,36,0.0,11,1,0
Levan Makashvili,35.0,68,68,2.87,54,61,3.67,42,85,0.0,15,2,1
Danilo Belluardo,29.0,72,74,1.52,61,41,3.5,10,50,0.0,12,5,0
Che Mills,41.0,73,76,2.08,52,43,1.18,66,58,0.0,16,10,0
Kevin Natividad,30.0,66,70,2.68,34,47,3.66,50,83,0.0,9,4,0
Brandon Vera,46.0,75,78,3.03,56,52,0.7,53,59,0.2,15,7,0
Cezar Ferreira,39.0,73,78,1.9,42,53,2.69,53,84,0.5,13,8,0
Jair Farias,30.0,73,76,3.8,39,51,0.0,0,41,0.0,10,1,0
Thibault Gouti,37.0,70,72,3.68,34,50,1.23,80,83,0.3,12,5,0
Pat Barry,44.0,71,74,2.72,52,59,0.0,0,76,0.2,8,7,0
Andre Muniz,34.0,73,78,1.97,50,54,4.23,50,35,1.2,24,6,0
Oscar Cota,39.0,72,72,0.33,41,41,0.0,0,60,1.0,11,3,0
Vanessa Melo,35.0,65,65,3.48,30,59,0.0,0,71,0.0,11,8,0
Will Kerr,41.0,70,69,1.91,42,33,0.0,0,0,14.3,9,3,0
Jessica Penne,41.0,65,67,2.52,31,46,1.32,21,36,0.6,14,8,0
Gilbert Burns,37.0,70,71,3.36,48,54,1.95,35,47,0.5,22,6,0
Cory Sandhagen,31.0,71,70,5.33,44,58,1.36,33,64,0.3,17,4,0
Achilles Estremadura,31.0,70,68,3.2,43,70,0.0,0,0,0.0,7,1,0
Gabriel Benitez,35.0,68,71,4.92,41,62,0.24,50,55,1.0,23,12,0
Wu Yanan,27.0,68,66,4.23,41,49,0.62,30,63,0.2,13,6,0
Uriah Hall,39.0,72,79,3.23,48,54,0.54,38,64,0.1,18,11,0
Jared Vanderaa,31.0,76,80,4.96,44,45,0.18,50,20,0.0,12,10,0
LC Davis,43.0,68,69,2.04,30,59,2.27,46,66,0.2,23,8,0
Rolando Delgado,42.0,75,77,1.56,40,62,1.17,22,0,3.5,11,6,1
Jared Gordon,35.0,69,68,5.39,57,57,1.95,40,62,0.0,20,6,0
Nicholas Musoke,37.0,72,75,3.56,35,57,1.16,19,82,0.2,13,5,0
John Moraga,39.0,66,66,2.57,43,56,0.62,23,44,1.1,19,7,0
Neil Magny,36.0,75,80,3.47,46,52,2.17,40,54,0.3,29,12,0
Justin Tafa,30.0,72,74,5.13,55,49,0.0,0,10,0.0,7,3,0
Paul Felder,39.0,71,70,3.7,44,48,0.29,28,64,0.2,17,6,0
Tyson Pedro,32.0,75,79,3.11,61,54,0.94,36,52,0.9,10,4,0
Parker Porter,38.0,72,75,6.55,50,51,1.35,26,66,0.5,14,9,0
Warlley Alves,33.0,71,72,3.25,48,50,1.35,50,80,0.9,15,7,0
Shelton Graves,38.0,74,76,2.19,69,33,4.86,57,0,0.0,7,3,0
Travis Lutter,50.0,71,75,0.41,32,42,1.95,24,30,0.7,10,6,0
Nick Osipczak,39.0,74,76,2.83,50,50,1.2,45,71,1.0,6,3,0
Jessica-Rose Clark,36.0,65,64,3.73,51,58,1.66,42,62,0.3,11,9,0
Andrew Sanchez,35.0,73,74,4.3,43,50,2.55,36,10,0.0,13,7,0
Antonio Braga Neto,36.0,75,77,1.36,33,45,3.07,37,0,0.5,9,3,0
Josh Quinlan,31.0,72,72,3.59,42,49,0.51,11,60,0.0,6,2,0
Yan Xiaonan,34.0,65,63,5.55,44,61,0.86,66,70,0.0,17,3,0
Nikolas Motta,31.0,69,70,3.08,33,51,0.0,0,82,0.0,14,5,0
Forrest Griffin,44.0,75,77,4.38,36,61,1.05,48,57,0.7,19,7,0
Jalin Turner,28.0,75,77,6.02,48,41,0.88,55,75,1.2,14,7,0
Top Noi Kiwram,31.0,65,67,4.47,59,66,2.72,85,74,0.0,9,5,0
Piotr Hallmann,36.0,69,71,3.98,45,58,2.55,44,70,0.4,18,6,0
Henry Cejudo,37.0,64,64,3.77,46,60,1.99,32,75,0.2,16,4,0
Dustin Joynson,38.0,78,78,3.28,53,47,0.0,0,0,0.0,5,0,0
James Llontop,24.0,72,73,4.93,54,74,0.0,0,71,0.0,14,2,0
Ben Askren,39.0,71,73,3.64,49,36,4.33,55,0,0.9,19,2,0
Jacob Malkoun,28.0,69,73,3.89,56,50,7.2,44,0,0.5,7,3,0
Anderson Silva,48.0,74,77,3.05,61,60,0.5,77,69,0.8,34,11,0
Ryan MacDonald,30.0,71,71,2.28,29,45,0.0,0,0,0.0,10,2,0
Ricky Simon,31.0,66,69,3.01,43,61,5.49,46,76,0.4,20,5,0
Gregor Gillespie,37.0,67,71,3.74,52,57,6.86,48,10,0.8,14,1,0
Yoel Romero,46.0,72,73,3.44,49,60,1.57,30,78,0.0,13,5,0
Matt Schnell,34.0,68,70,4.24,39,55,0.63,44,46,1.1,16,7,0
HanSeul Kim,33.0,73,74,6.93,45,50,0.0,0,0,4.0,13,5,0
Alejandro Flores,32.0,70,73,3.66,40,54,0.0,0,0,0.0,17,3,0
Matt Dwyer,34.0,76,76,2.57,34,54,0.44,10,60,0.0,9,4,0
Nariman Abbasov,30.0,68,66,3.0,20,46,0.0,0,66,0.0,28,4,0
Kron Gracie,35.0,69,70,3.74,44,53,0.47,25,0,0.5,5,2,0
Joe Duffy,36.0,70,73,2.68,34,54,0.96,66,64,0.7,16,5,0
Philip De Fries,37.0,77,79,2.3,47,37,3.29,42,10,0.6,12,6,0
Bassil Hafez,32.0,71,72,2.13,25,39,3.0,15,50,0.0,8,4,1
Jessica Aguilar,41.0,63,63,4.93,50,53,0.94,25,50,0.2,20,8,0
Azat Maksum,29.0,67,70,2.8,23,55,2.0,22,66,0.5,17,1,0
Baergeng Jieleyisi,28.0,69,71,2.53,38,45,0.0,0,0,0.0,12,4,0
Rich Attonito,46.0,70,72,2.28,47,59,0.74,37,75,0.0,10,5,0
Alonzo Menifield,36.0,72,76,3.92,57,49,0.67,33,75,0.3,15,3,1
Hector Sandoval,37.0,62,64,3.31,52,65,3.49,25,71,1.4,14,4,0
Andre Winner,42.0,71,73,2.52,33,51,0.0,0,74,0.0,21,11,2
Yan Qihui,27.0,63,62,4.01,60,72,4.46,10,10,0.0,11,4,0
Luigi Vendramini,28.0,68,73,2.82,40,57,1.11,15,10,0.6,9,3,0
Nad Narimani,36.0,68,70,3.33,42,58,1.92,41,70,0.0,12,4,0
Westin Wilson,35.0,73,73,2.11,34,28,0.0,0,0,4.2,16,9,0
Brendan Allen,28.0,74,75,3.87,54,46,1.36,47,58,1.7,23,5,0
Jordan Wright,32.0,74,77,4.1,56,31,2.09,45,10,0.4,12,5,0
Cody Pfister,33.0,70,73,1.41,25,51,2.82,30,0,0.0,13,6,1
JungHyun Lee,21.0,65,65,4.27,39,38,0.0,0,64,0.0,8,1,0
Nikolay Veretennikov,34.0,73,74,3.47,65,56,0.0,0,50,0.0,9,4,0
Diego Nunes,41.0,66,67,2.72,43,58,1.18,44,65,0.6,19,7,0
Daniel Jolly,39.0,73,75,1.32,46,44,2.83,33,50,0.0,5,3,0
Dakota Bush,29.0,70,73,2.77,38,41,2.4,33,0,0.0,8,4,0
Alexis Davis,39.0,66,68,4.63,49,54,0.95,44,34,0.7,21,11,0
Edgar Garcia,40.0,70,71,3.16,29,60,2.21,57,50,0.6,14,5,0
Virna Jandiroba,35.0,63,64,2.34,40,56,2.42,39,73,1.0,19,3,0
Elvis Mutapcic,37.0,72,72,3.41,40,38,0.0,0,81,0.0,15,6,1
Kiefer Crosbie,33.0,71,70,8.1,66,50,0.0,0,0,0.0,10,4,0
Windri Patilima,30.0,66,71,0.31,50,31,0.0,0,0,0.0,8,1,0
Gugun Gusman,34.0,67,68,0.88,27,41,0.0,0,33,0.0,8,4,0
Boston Salmon,33.0,69,69,4.13,37,59,0.0,0,10,0.0,6,3,0
Jason Brilz,48.0,71,71,2.66,40,65,2.37,25,25,1.3,22,6,1
Anthony Birchak,37.0,68,69,3.93,36,56,0.48,14,61,0.5,16,8,0
Chad Hanekom,33.0,76,74,0.73,47,33,0.0,0,71,1.0,9,3,0
Justin Salas,41.0,68,70,3.42,43,68,2.43,20,0,0.0,12,7,0
Chuck Liddell,54.0,74,76,2.97,35,56,0.44,75,81,0.0,21,8,0
Tony Gravely,32.0,65,69,3.82,48,44,5.4,41,52,0.3,23,9,0
HyunSung Park,28.0,67,66,4.15,44,59,1.54,27,10,2.6,9,0,0
Maurice Greene,37.0,79,80,3.28,45,45,0.0,0,27,0.4,9,7,0
Junior Albini,32.0,75,74,3.98,51,52,1.54,37,10,0.0,14,6,0
Piera Rodriguez,31.0,63,63,3.46,46,57,3.31,41,66,0.0,9,1,0
Oluwale Bamgbose,36.0,71,78,2.45,48,55,0.94,33,37,0.0,6,4,0
Corey Anderson,34.0,75,79,4.43,46,59,4.89,50,83,0.0,14,5,0
TJ Brown,33.0,69,72,3.37,44,49,3.41,57,36,1.3,17,11,0
Eduarda Moura,30.0,66,66,5.61,67,80,5.34,10,0,1.3,10,0,0
Sangwook Kim,30.0,72,72,5.57,51,48,1.65,18,66,0.8,9,3,0
Myktybek Orolbai,26.0,70,74,0.87,40,48,11.4,70,0,1.6,12,1,1
Terrance McKinney,29.0,70,73,4.46,52,44,3.52,36,85,1.0,15,6,0
Jesus Aguilar,27.0,64,62,1.49,50,59,1.9,33,40,1.4,10,2,0
Danny Castillo,44.0,69,71,2.57,42,62,2.95,38,63,0.2,17,10,0
Rafael Dos Anjos,39.0,68,70,3.52,47,60,2.01,35,56,0.6,32,15,0
Mark Hominick,41.0,68,68,4.08,42,69,0.25,66,71,0.9,20,12,0
Alexander Volkov,35.0,79,80,5.1,57,54,0.49,63,73,0.2,37,10,0
Rafa Garcia,29.0,67,70,4.19,42,61,3.61,44,79,0.3,16,3,0
Lu Kai,30.0,69,69,3.76,43,55,2.62,50,10,2.6,8,5,0
Frankie Perez,34.0,71,73,1.64,41,54,1.75,41,50,0.3,10,4,0
Ronny Markes,35.0,73,75,2.17,53,45,3.13,40,10,0.5,17,5,0
Alex Morono,33.0,71,72,5.02,41,58,0.34,22,50,0.3,23,9,0
Jimmie Rivera,34.0,64,68,4.03,40,60,0.88,27,92,0.1,23,5,0
Song Kenan,33.0,72,71,4.36,46,50,0.34,50,61,0.0,20,8,0
Darren Elkins,39.0,70,71,3.44,38,52,2.85,35,56,1.1,28,11,0
Mana Martinez,27.0,70,70,4.33,48,50,0.72,42,25,0.5,10,4,0
Alexander Morgan,32.0,70,71,3.71,44,47,0.0,0,0,0.0,11,5,0
Matt Sayles,30.0,67,68,4.83,41,61,0.36,16,81,0.7,8,4,0
Tim Sylvia,48.0,80,80,4.23,41,61,0.11,10,75,0.1,31,10,0
Deiveson Figueiredo,36.0,65,68,3.08,55,51,1.65,44,58,1.6,22,3,1
Paul Craig,36.0,75,76,2.42,46,45,1.76,22,37,1.6,17,7,1
Chase Sherman,34.0,76,78,6.04,45,52,0.09,50,74,0.0,16,12,0
Damon Jackson,35.0,71,71,3.02,40,50,2.44,34,40,1.6,22,6,1
Jon Tuck,39.0,71,73,3.0,40,60,0.42,33,50,1.0,10,5,0
Walt Harris,40.0,77,77,3.05,39,54,0.29,28,70,0.1,13,10,0
Kalib Starnes,49.0,75,74,2.71,48,53,1.46,33,25,0.6,17,11,1
Kazuma Maruyama,31.0,71,72,3.83,41,53,4.79,33,10,0.0,11,7,0
Tiago dos Santos e Silv,36.0,69,70,3.69,35,59,0.63,11,33,0.3,20,7,2
Mitch Ramirez,31.0,71,71,3.69,52,36,2.41,10,0,0.0,7,1,0
Stefan Sekulic,32.0,72,75,1.83,50,64,2.0,33,25,0.5,12,4,0
Israel Adesanya,34.0,76,80,3.93,48,56,0.05,14,77,0.1,24,3,0
Luana Santos,23.0,66,67,6.21,55,64,1.61,50,66,0.0,7,1,0
Devin Smyth,28.0,70,72,2.6,68,25,4.0,26,10,0.0,4,2,0
Fares Ziam,26.0,73,75,2.7,48,65,0.81,23,67,0.2,15,4,0
Chris Horodecki,36.0,69,69,4.59,41,65,1.52,55,37,0.9,21,7,1
Rongzhu,23.0,69,72,5.47,50,45,2.09,62,85,0.2,25,5,0
Ryan Spann,32.0,77,79,3.42,40,45,1.29,35,47,1.5,21,9,0
Chris Camozzi,37.0,74,75,3.57,44,56,0.27,19,57,0.5,24,13,0
Julija Stoliarenko,30.0,67,66,2.49,39,46,0.93,27,54,1.7,11,9,2
Dan Argueta,30.0,67,68,2.35,47,52,2.54,50,60,1.9,9,1,0
WonBin Ki,33.0,71,73,5.47,47,55,0.0,0,0,0.0,17,9,0
Dylan Salvador,30.0,69,69,4.34,37,46,0.0,0,0,0.0,5,2,0
Reza Madadi,45.0,71,73,2.51,46,66,3.17,33,89,0.5,14,6,0
Alexander Yakovlev,39.0,75,74,1.74,47,58,1.66,35,72,0.1,24,10,1
Ricardo Lamas,41.0,68,71,3.13,47,57,1.84,33,46,0.9,20,8,0
Darrell Horcher,36.0,70,70,2.05,44,39,0.35,50,47,0.7,13,4,0
Muin Gafurov,27.0,67,68,2.98,41,48,2.4,26,62,0.0,18,6,0
Daniel Allen,31.0,72,75,7.6,51,53,2.0,66,10,0.0,5,0,0
Neil Seery,44.0,64,64,3.56,41,58,0.78,27,53,1.6,16,13,0
Ed Herman,43.0,73,77,3.31,48,42,1.96,47,59,1.0,27,16,0
Roque Martinez,38.0,70,72,3.28,53,56,0.38,50,53,0.4,15,8,2
Belal Muhammad,35.0,71,72,4.55,43,57,1.98,35,93,0.2,23,3,0
Brandon Thatch,38.0,74,74,2.7,42,52,1.36,66,50,0.7,11,5,0
Chase Waldon,37.0,73,75,1.03,28,38,7.76,33,0,0.0,11,2,0
Santo Curatolo,29.0,63,62,1.4,39,34,2.0,33,10,0.0,6,2,0
Paul Sass,35.0,72,73,0.53,26,51,0.53,16,33,7.4,14,2,0
Maki Pitolo,33.0,70,75,4.1,44,55,2.24,52,50,0.8,13,9,0
Carlston Harris,36.0,72,76,2.93,49,53,2.05,29,55,0.8,19,5,0
Marcelo Rojo,35.0,68,71,4.92,39,55,0.46,50,66,0.0,16,10,0
Tatsuro Taira,24.0,67,70,3.51,71,47,2.12,41,71,2.4,15,0,0
Karolina Kowalkiewicz,38.0,63,64,5.92,43,59,0.36,26,74,0.2,16,7,0
Luke Jumeau,36.0,71,72,2.93,43,58,0.25,10,86,0.0,13,5,0
Alex Oliveira,36.0,71,76,2.99,51,46,2.35,38,63,0.6,22,12,1
Paulo Thiago,43.0,71,74,1.71,39,63,1.42,31,63,1.2,18,9,0
Justine Kish,35.0,65,64,4.51,48,57,0.87,33,50,0.1,7,4,0
Robert Peralta,37.0,68,71,3.76,44,53,0.59,66,65,0.0,18,8,0
Muhammed Lawal,43.0,72,78,3.79,52,66,5.96,75,87,0.0,21,6,0
Kyle Noke,43.0,73,76,3.23,50,64,1.53,54,66,0.8,22,10,1
Jailton Almeida,32.0,75,79,2.78,64,43,5.14,55,75,2.4,20,2,0
Alfred Khashakyan,35.0,68,70,6.14,42,40,3.54,25,0,0.0,8,3,0
Torrez Finney,25.0,68,75,0.91,58,47,13.6,63,0,3.9,7,0,0
Frankie Saenz,43.0,66,66,3.94,47,52,1.74,31,61,0.1,13,7,0
Don'Tale Mayes,32.0,78,81,3.6,44,46,0.79,43,60,0.0,10,6,0
Ian Heinisch,35.0,71,72,3.25,50,59,1.02,17,59,0.7,14,5,0
James McSweeney,43.0,76,77,3.94,55,42,0.52,33,10,1.1,15,15,0
Emily Whitmire,32.0,65,63,2.5,31,54,1.9,66,70,0.5,4,5,0
John Albert,37.0,68,68,3.05,49,35,0.0,0,50,6.1,6,5,0
Matheus Scheffel,31.0,74,75,1.33,36,47,0.0,0,10,0.0,14,7,0
Forrest Petz,48.0,69,71,2.27,29,57,1.3,10,66,0.0,26,10,0
Louis Gaudinot,39.0,63,63,2.34,37,48,0.57,40,31,1.1,8,4,0
Yuma Horiuchi,26.0,66,67,3.73,30,35,2.0,16,0,2.0,9,5,0
Shamar Bailey,41.0,69,75,1.56,20,69,1.5,33,37,0.0,16,11,0
Brandon Lewis,26.0,64,70,2.17,29,53,1.0,15,20,0.0,6,2,0
David Bielkheden,44.0,70,71,1.11,57,54,2.65,63,14,0.0,24,12,0
Caio Magalhaes,36.0,73,73,2.27,40,56,1.05,15,58,1.6,10,3,0
Bryan Battle,29.0,73,77,4.52,54,42,0.94,25,45,0.6,11,2,0
Martin Kampmann,41.0,72,72,3.22,42,62,1.86,41,78,2.0,20,7,0
Rob Wilkinson,32.0,75,80,2.74,50,39,4.47,25,0,0.0,11,2,0
Shannon Gugerty,42.0,70,71,1.25,39,58,2.13,27,50,3.4,15,7,0
Caol Uno,48.0,67,70,1.91,49,50,1.95,31,37,0.5,33,19,5
Olivier Murad,30.0,70,72,2.6,36,61,1.0,10,55,0.0,6,0,0
Tatiana Suarez,33.0,65,66,4.27,63,51,6.2,61,10,0.9,11,0,0
Nohelin Hernandez,30.0,70,71,1.32,34,52,0.71,50,37,0.0,9,4,0
Rodrigo Damm,44.0,67,71,3.5,36,57,0.44,16,80,0.3,13,9,0
Chandler Cole,29.0,70,72,2.45,60,26,0.0,0,0,0.0,10,4,0
Pat Sabatini,33.0,68,70,2.02,59,49,3.73,42,50,1.9,18,5,0
Michael Cora,34.0,73,77,0.8,28,66,0.0,0,25,0.0,4,1,0
Christian Rodriguez,26.0,67,71,3.51,46,58,1.4,54,70,1.4,10,1,0
Allan Nascimento,32.0,68,69,3.21,61,50,1.55,26,16,0.9,20,6,0
Kurt Pellegrino,44.0,68,70,2.45,43,63,2.9,54,69,0.8,16,7,0
Cat Zingano,41.0,66,68,2.57,61,47,2.77,65,42,0.8,10,4,0
Talita Alencar,33.0,61,58,2.37,28,48,2.5,15,50,0.0,5,0,1
Josh Samman,35.0,75,79,2.08,52,34,1.09,33,33,0.4,13,4,0
Marcin Held,32.0,69,71,1.41,34,47,2.46,46,37,1.3,23,7,0
Gilbert Yvel,47.0,74,77,1.05,47,50,0.0,0,25,1.0,39,16,1
Da'Mon Blackshear,29.0,70,72,4.28,47,48,2.34,37,66,0.8,14,6,1
Cub Swanson,40.0,68,70,4.7,50,59,1.09,52,61,0.4,29,13,0
Matt Lindland,53.0,72,74,2.62,50,52,3.01,48,60,1.3,22,9,0
Anthony Rocco Martin,34.0,72,73,2.68,37,58,0.71,27,68,1.0,17,6,0
Ottman Azaitar,34.0,68,71,5.73,51,48,0.0,0,10,0.0,13,2,0
Sabina Mazo,26.0,67,70,6.1,43,57,0.65,80,59,0.2,9,4,0
Joe Lowry,34.0,71,73,3.97,34,63,0.0,0,0,0.0,9,2,0
Ty Flores,30.0,75,73,2.0,37,25,1.0,9%,0,0.0,7,3,0
Benito Lopez,29.0,70,73,4.39,45,56,0.0,0,73,0.3,10,2,0
Yao Zhikui,33.0,65,64,1.44,21,48,0.66,16,58,0.0,2,4,0
Roy Nelson,47.0,72,73,2.18,36,46,1.14,27,65,0.1,22,14,0
Augusto Sakai,32.0,75,77,4.6,49,48,0.23,40,56,0.0,16,5,1
Takeya Mizugaki,40.0,67,69,3.37,37,57,1.46,57,70,0.1,21,11,2
Matt Hughes,50.0,69,73,2.14,53,53,2.95,50,35,1.2,45,9,0
Brad Scott,34.0,73,76,3.52,41,57,0.32,15,63,0.7,11,6,0
Fabio Cherant,29.0,73,74,1.35,40,38,0.0,0,0,0.0,7,4,0
Calvin Kattar,35.0,71,72,5.12,39,54,0.42,29,91,0.1,23,7,0
Manny Tapia,42.0,65,67,2.69,21,58,0.49,40,66,0.2,12,14,1
Kyoji Horiguchi,33.0,65,66,3.6,45,62,2.0,44,55,0.0,19,2,0
Bolaji Oki,28.0,70,73,5.18,43,64,0.84,10,83,0.0,9,1,0
Tim Kennedy,44.0,71,74,2.78,47,62,2.58,35,70,0.7,18,6,0
Mateusz Gamrot,33.0,70,70,2.97,50,60,4.36,30,90,0.2,23,2,0
Josiane Nunes,30.0,62,67,7.22,44,52,0.0,0,70,0.0,10,1,0
Jonny Parsons,32.0,69,69,4.65,44,60,0.0,0,66,0.0,9,3,0
Kevin Szaflarski,29.0,77,77,1.13,28,30,0.0,0,0,0.0,11,2,0
Christian Aguilera,32.0,69,72,2.54,37,48,0.0,0,60,0.0,14,8,0
Jack Della Maddalena,27.0,71,73,7.2,53,67,0.27,20,82,0.3,16,2,0
John Dodson,39.0,63,66,3.2,40,61,0.71,28,82,0.0,22,12,0
Nathan Coy,45.0,70,69,3.88,52,61,3.17,47,50,0.0,15,7,0
Joanna Jedrzejczyk,36.0,66,65,6.28,48,62,0.27,62,80,0.1,16,5,0
TJ Laramie,26.0,66,66,1.49,50,38,1.44,33,40,0.0,12,5,0
Greg Soto,37.0,71,73,3.21,63,52,1.49,27,44,1.0,9,4,0
Jesse Murray,31.0,75,78,2.38,28,43,0.0,0,0,0.0,8,4,0
Gillian Robertson,28.0,65,63,2.61,46,56,2.53,43,43,1.0,13,8,0
Ken Shamrock,60.0,73,72,1.47,46,39,0.94,60,44,2.5,28,17,2
Mayra Bueno Silva,32.0,66,66,3.84,57,53,0.68,38,68,1.6,10,3,1
Santiago Ponzinibbio,37.0,72,73,4.9,41,61,0.48,30,60,0.0,30,7,0
Zubaira Tukhugov,33.0,68,68,3.17,39,63,2.13,39,10,0.0,20,6,1
Cyril Asker,38.0,72,74,3.35,39,35,4.41,62,10,0.9,9,4,0
Akbarh Arreola,41.0,70,71,2.32,45,56,1.07,10,33,0.4,23,11,1
Leon Aliu,34.0,72,74,6.32,50,38,0.0,0,0,0.0,10,2,0
Grant Dawson,30.0,70,72,2.97,51,45,3.68,36,40,1.5,20,2,1
Randa Markos,38.0,64,63,2.97,43,58,1.12,28,52,0.2,11,12,1
James Mulheron,36.0,70,73,2.4,31,42,0.0,0,25,0.0,11,2,0
Nicolas Dalby,39.0,71,74,4.03,43,52,1.11,30,60,0.1,23,4,1
Benson Henderson,40.0,69,70,2.93,45,63,2.4,45,63,0.8,24,7,0
Tamdan McCrory,37.0,76,76,2.07,49,46,2.28,50,33,2.5,14,5,0
Dan Moret,37.0,72,73,2.67,43,43,1.25,27,45,0.4,13,6,0
Yuta Sasaki,34.0,70,71,2.16,41,50,3.03,43,41,1.2,21,6,2
Luis Gomez,29.0,67,68,1.57,33,55,4.48,50,33,0.0,4,1,0
Saparbeg Safarov,37.0,73,78,4.03,48,47,2.52,41,33,0.0,9,3,0
Christos Giagos,34.0,70,71,2.98,42,51,2.93,37,52,0.4,20,11,0
Jamie Colleen,38.0,63,65,3.11,61,33,0.52,33,50,1.6,4,1,0
Mario Bautista,30.0,69,69,5.69,48,53,2.25,44,66,1.0,14,2,0
Sijara Eubanks,38.0,64,67,4.3,43,57,1.9,44,66,0.3,8,7,0
David Branch,42.0,73,78,1.66,39,56,2.55,32,43,0.0,22,6,0
Marcio Alexandre Junior,34.0,72,75,1.61,45,42,0.35,20,66,0.7,17,4,0
Alatengheili,32.0,65,66,2.88,33,58,1.82,40,72,0.0,16,9,2
Jerome Rivera,28.0,70,72,3.21,33,51,0.0,0,40,0.0,10,6,0
Jonathan Wilson,36.0,74,75,2.92,48,56,0.37,10,80,0.0,7,3,0
Charles Byrd,40.0,70,73,3.43,55,55,2.5,50,40,1.5,10,7,0
Issei Tamura,39.0,65,63,1.89,53,44,0.92,25,33,0.0,10,8,0
Andrea Lee,35.0,66,69,4.69,46,62,1.85,58,55,0.6,13,9,0
Felice Herrig,39.0,64,65,3.84,37,48,1.08,28,75,0.8,14,10,0
Albert Duraev,35.0,71,75,2.99,40,59,1.97,29,66,0.6,16,5,0
Brunno Ferreira,31.0,70,72,5.0,50,48,1.25,16,66,0.0,11,1,0
Humberto Bandenay,29.0,71,71,2.22,41,41,2.9,46,62,0.5,14,7,0
Eric Schafer,46.0,75,76,1.89,34,56,1.81,36,50,1.8,14,8,2
Jose Aldo,37.0,67,70,3.57,46,60,0.49,54,91,0.1,31,8,0
Rick Story,39.0,69,71,3.8,41,62,2.53,48,63,0.9,19,9,0
Gabriel Santos,27.0,69,70,4.46,55,44,4.34,46,66,1.2,10,2,0
Brandon Jenkins,32.0,72,71,2.93,41,33,0.0,0,27,0.0,15,9,0
Chris Weidman,39.0,74,78,2.98,43,50,3.6,43,65,0.8,15,7,0
Leonardo Santos,44.0,72,75,2.82,46,54,0.88,25,86,0.2,18,7,1
Demian Maia,46.0,73,72,1.8,43,63,2.49,24,61,1.0,28,11,0
Mitch Raposo,25.0,65,64,2.57,25,56,3.67,66,0,0.0,5,1,0
Jorge Masvidal,39.0,71,74,4.05,47,64,1.38,59,72,0.3,35,17,0
Vince Morales,33.0,69,70,4.17,37,53,0.14,25,64,0.0,11,7,0
Marnic Mann,31.0,60,64,1.1,42,31,1.83,30,16,0.0,6,2,0
Nick Ring,45.0,72,74,3.52,42,62,1.36,36,52,0.3,14,4,0
Gavin Tucker,37.0,66,66,4.29,44,57,3.13,44,53,1.5,13,3,0
Ryan Janes,42.0,75,76,7.69,48,59,0.35,10,58,0.0,10,3,0
Brett Rogers,43.0,77,81,3.17,44,46,0.0,0,58,0.0,17,10,0
Ryo Chonan,47.0,69,70,2.57,43,60,0.61,41,39,0.3,22,13,0
Mizuto Hirota,42.0,67,67,3.36,40,54,1.36,50,58,0.1,18,10,2
Steve Garcia,31.0,72,75,4.85,56,46,1.31,44,88,0.7,15,5,0
Cristian Quinonez,27.0,68,70,4.19,40,55,1.37,37,84,0.0,18,5,0
Jake Shields,45.0,72,72,2.45,36,56,2.83,29,35,1.2,31,9,1
Nyamjargal Tumendembere,25.0,67,71,4.43,44,45,4.68,38,14,3.7,8,0,0
Payton Talbott,25.0,70,70,6.66,51,51,0.0,0,88,0.6,7,0,0
Daniel Rodriguez,37.0,73,74,7.3,50,56,0.62,50,63,0.1,17,4,0
Kai Kara-France,30.0,64,69,4.57,39,65,0.63,33,88,0.0,24,11,0
Dwight Grant,39.0,73,76,3.29,36,60,0.61,10,66,0.0,11,6,0
Dalcha Lungiambula,36.0,68,76,3.07,45,52,2.14,45,77,0.0,11,6,0
Alex Caceres,35.0,70,73,4.16,50,63,0.56,68,64,0.7,21,14,0
Marvin Eastman,52.0,69,73,2.21,35,42,1.38,33,81,0.0,18,15,1
Cody McKenzie,36.0,72,72,1.74,34,67,2.5,25,14,2.5,16,10,0
Brian Ortega,33.0,68,69,4.07,38,49,1.17,27,57,1.2,16,3,0
Sean Pierson,47.0,72,76,3.84,39,64,0.39,18,66,0.4,14,6,0
Shang Zhifa,37.0,67,63,1.27,32,60,2.0,10,0,0.0,32,8,0
Klidson Abreu,31.0,72,74,2.05,40,55,0.64,20,80,0.0,15,4,0
Lauren Murphy,40.0,65,67,4.05,39,55,1.03,25,69,0.1,16,6,0
Roman Kopylov,32.0,72,75,4.66,54,60,0.42,50,87,0.0,12,3,0
Li Jingliang,35.0,72,71,4.46,42,57,1.25,41,60,0.0,19,8,0
Jesse Butler,31.0,70,73,2.61,14,40,0.0,0,0,0.0,12,5,0
