fighter,age,height,reach,slpm,stac,sapm,tdavg,tdacc,tddef,subavg,wins,losses,draws
Cung Le,51.0,69,70,4.36,48,66,1.37,71,88,0.3,9,3,0
DeAnna Bennett,39.0,64,68,3.13,58,58,0.0,0,0,1.0,8,3,1
Carls John De Tomas,27.0,65,71,1.74,37,44,1.37,33,66,0.0,6,2,0
Eduardo Torres Caut,28.0,67,70,1.1,34,65,2.06,33,50,0.0,16,2,0
Patrick Cote,44.0,71,75,2.81,48,48,0.68,20,43,0.2,23,11,0
Kamaru Usman,36.0,72,76,4.36,52,54,2.82,45,89,0.1,20,4,0
Dan Henderson,53.0,71,74,2.44,47,51,1.52,52,57,0.3,32,15,0
Josh Wick,29.0,69,69,0.65,60,41,0.0,0,80,0.0,12,6,0
Kevin Holland,31.0,75,81,4.39,49,51,0.78,38,53,0.5,25,10,0
Adriano Martins,41.0,70,72,1.8,38,65,0.83,80,81,0.4,28,9,0
Katlyn Cerminara,35.0,69,68,4.59,34,63,0.27,15,54,0.3,18,5,0
Chris Barnett,37.0,69,75,4.41,48,40,0.0,0,33,0.0,23,8,0
Ben Rothwell,42.0,76,78,3.71,42,47,0.68,34,70,0.4,39,14,0
Shonte Barnes,37.0,71,76,2.32,38,67,0.0,0,60,0.0,6,2,1
Victor Martinez,32.0,68,70,8.65,50,54,0.86,50,80,0.0,13,5,0
Yana Santos,34.0,66,68,4.16,56,50,1.11,53,42,0.1,14,8,0
Eduardo Neves,23.0,74,78,7.69,65,55,5.77,66,0,0.0,7,2,0
Oban Elliott,26.0,72,72,4.27,53,61,3.5,50,0,0.0,10,2,0
Tom Nolan,23.0,75,73,10.27,56,47,0.0,0,0,0.0,6,1,0
Naoki Inoue,26.0,69,71,3.67,35,60,0.0,0,60,2.5,11,1,0
Hailey Cowan,32.0,68,67,2.97,42,34,1.5,33,80,0.0,7,3,0
Everett Sims,35.0,77,77,0.81,66,30,0.0,0,42,1.2,4,1,0
Kevin Burns,44.0,70,74,2.74,38,52,0.28,50,47,0.8,12,7,0
TJ Dillashaw,38.0,66,67,5.09,41,62,1.56,30,77,0.8,18,5,0
Tom Duquesnoy,30.0,67,68,3.83,45,62,0.42,25,46,0.0,16,2,0
Blood Diamond,35.0,71,76,3.12,55,48,0.0,0,73,0.0,3,3,0
Carli Judice,25.0,67,68,11.2,57,54,0.0,0,50,0.0,3,1,0
Teemu Packalen,36.0,73,75,2.57,54,47,2.31,25,10,1.5,8,3,0
Pedro Munhoz,37.0,66,65,5.45,43,56,0.47,19,82,0.5,20,8,0
Shane Nelson,39.0,69,70,1.38,31,61,1.31,18,54,1.6,16,7,0
Vitor Miranda,44.0,73,77,2.98,45,58,0.95,55,50,0.2,12,5,0
Kajan Johnson,39.0,71,75,2.47,42,64,1.54,37,62,0.2,23,13,1
Vinicius Salvador,27.0,67,70,5.44,42,49,0.38,11,86,0.0,14,6,0
Brad Blackburn,46.0,70,73,4.55,35,65,0.93,50,76,0.7,18,13,1
Lucas Alexander,28.0,71,73,5.23,55,71,0.0,0,57,0.0,8,4,0
Randy Costa,29.0,69,73,6.53,46,58,0.0,0,50,0.0,6,4,0
Abu Azaitar,37.0,69,76,4.38,43,51,1.0,37,42,0.0,14,4,1
Nick Pace,36.0,67,68,1.48,34,57,2.52,43,54,0.5,8,3,0
Tanner Boser,32.0,74,75,4.7,52,58,0.0,0,63,0.0,21,10,1
Brady Huang,31.0,69,69,4.62,37,30,0.0,0,0,0.0,11,2,0
Jerrod Sanders,44.0,68,72,0.88,64,46,2.2,33,50,1.6,16,3,0
Brad Pickett,45.0,66,68,3.02,31,55,2.47,44,58,0.4,25,14,0
Carlton Minus,30.0,70,75,3.5,40,50,0.0,0,58,0.0,10,3,0
Ramazan Kuramagomedov,27.0,73,73,11.67,67,54,1.0,14,0,0.0,8,0,0
Isis Verbeek,29.0,64,64,3.13,43,53,0.0,0,66,0.0,5,2,0
Igor Araujo,43.0,73,77,1.52,42,49,0.86,15,22,0.6,25,9,0
JP Buys,27.0,65,67,1.88,39,40,1.55,25,25,2.3,9,6,0
Luke Flores,35.0,72,73,1.56,44,60,0.0,0,40,1.2,9,2,0
Sean Woodson,31.0,74,78,5.4,46,58,0.76,62,84,0.5,11,1,1
Elias Garcia,31.0,65,67,1.59,27,50,0.68,14,33,1.4,6,2,0
Iliarde Santos,43.0,65,67,3.0,30,57,1.66,23,83,0.0,30,13,1
Brendan Loughnane,34.0,70,70,6.23,63,53,1.5,30,92,0.0,17,3,0
Claudia Leite,27.0,63,64,1.27,47,57,1.0,25,0,1.0,8,3,0
Anderson Dos Santos,38.0,65,70,2.7,25,49,0.98,14,66,0.7,21,9,0
Sean Strickland,33.0,73,76,5.91,41,62,0.85,64,77,0.2,28,6,0
Ryan Bader,40.0,74,74,2.82,43,71,3.37,44,80,0.4,23,5,0
Taiyilake Nueraji,23.0,74,75,11.01,48,58,0.0,0,0,0.0,9,1,0
Adam Milstead,36.0,75,76,3.85,46,43,0.0,0,64,0.0,8,4,0
Alexandr Romanov,33.0,74,75,4.06,52,50,4.32,54,20,0.9,17,2,0
Zhang Mingyang,25.0,74,75,9.23,57,57,0.0,0,0,0.0,17,6,0
Kyle Bradley,41.0,69,71,1.99,40,58,0.65,50,40,0.0,19,12,0
Suman Mokhtarian,31.0,68,72,2.21,43,48,0.0,0,0,0.0,8,5,0
Charles Radtke,33.0,69,72,3.29,52,54,0.76,16,10,0.0,9,3,0
Yoshiro Maeda,42.0,67,68,2.36,33,63,2.93,51,50,0.7,35,16,5
Marcus Aurelio,50.0,70,74,1.42,33,59,1.69,27,27,1.3,22,10,0
Modestas Bukauskas,30.0,75,78,3.28,41,50,0.0,0,71,0.0,15,6,0
Tracy Cortez,30.0,65,65,4.11,53,60,2.33,46,75,0.3,11,1,0
Steven Nguyen,30.0,71,73,8.29,43,63,0.0,0,83,0.0,9,1,0
Stephanie Frausto,33.0,62,61,1.43,21,60,0.0,0,0,0.0,8,7,0
Drew Fickett,44.0,70,70,2.33,41,57,1.3,35,30,2.2,42,21,0
Jose Alday,32.0,67,68,3.13,44,58,0.0,0,57,0.0,14,6,1
Loma Lookboonmee,28.0,61,61,4.1,57,53,1.9,50,72,0.1,9,3,0
Norma Dumont,33.0,67,67,3.41,49,66,1.39,64,72,0.0,10,2,0
SangWon Kim,30.0,69,69,3.18,57,58,0.69,25,72,0.0,10,6,1
Cesar Almeida,35.0,73,74,4.73,61,48,0.0,0,70,0.0,4,0,0
Dhiego Lima,35.0,74,75,3.12,39,58,1.26,34,73,0.6,17,9,0
Landon Quinones,28.0,69,70,6.77,40,55,0.5,33,10,0.0,7,3,1
